"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"1215","Male","Married",45,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","6 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"1216","Male","Married",28,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","3 to 4","1996","Collision","USA"
"1217","Male","Married",39,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1221","Male","Single",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"1222","Male","Married",46,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","USA"
"1223","Female","Married",30,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"1224","Male","Married",36,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1226","Male","Married",56,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1227","Male","Married",53,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"1228","Male","Single",28,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1229","Male","Married",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"1231","Male","Married",64,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"1232","Male","Married",41,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1233","Male","Married",38,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1235","Male","Married",36,"Third Party","Utility","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1237","Male","Single",41,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1995","Liability","USA"
"1238","Female","Single",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1239","Male","Married",43,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","6 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1240","Male","Married",36,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","Collision","USA"
"1243","Male","Married",39,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","2 vehicles","1996","Collision","USA"
"1245","Male","Married",41,"Policy Holder","Utility","more than 69000",0,"700","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1247","Male","Married",46,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"1248","Female","Married",45,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1249","Female","Single",27,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1250","Male","Single",34,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"1251","Female","Married",48,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1252","Male","Single",33,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","none","5 years","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"1254","Male","Single",44,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"1255","Male","Single",37,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1256","Male","Married",46,"Policy Holder","Sport","30000 to 39000",0,"700","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1257","Male","Single",24,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"1260","Male","Married",57,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","2 vehicles","1996","Liability","USA"
"1261","Male","Married",65,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1262","Male","Married",38,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1996","Liability","USA"
"1263","Male","Married",31,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","6 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","USA"
"1265","Male","Married",40,"Policy Holder","Sport","30000 to 39000",0,"400","8 to 15","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1267","Male","Married",33,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","4 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1271","Male","Single",39,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"1272","Male","Married",40,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","Yes","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"1273","Female","Married",52,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"1274","Female","Single",35,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"1278","Male","Married",36,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"1279","Male","Married",46,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","2 vehicles","1994","Collision","USA"
"1280","Male","Married",43,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1281","Male","Single",34,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1282","Male","Married",53,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"1285","Male","Married",38,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","Liability","USA"
"1286","Female","Single",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","3 years","Yes","No","External","none","1 vehicle","1996","Collision","USA"
"1288","Male","Married",39,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"1289","Male","Married",57,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"1290","Male","Married",31,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1291","Male","Married",59,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"1292","Male","Married",61,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1996","Liability","USA"
"1293","Male","Married",51,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1295","Male","Single",42,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"1296","Male","Married",50,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"1297","Male","Married",59,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1996","Collision","USA"
"1300","Female","Married",30,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1301","Female","Married",50,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1304","Male","Married",50,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"1305","Male","Married",29,"Third Party","Sport","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1307","Male","Married",47,"Third Party","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1995","Liability","USA"
"1308","Female","Married",29,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1309","Male","Married",48,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","3 to 4","1995","All Perils","USA"
"1310","Male","Married",36,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1312","Male","Single",69,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","USA"
"1314","Female","Single",26,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","none","1 vehicle","1995","Liability","USA"
